artist,year,song,album
"PM Dawn",1991,"Set Adrift On a Memory of Bliss",NULL
"Santana & Michelle Branch",2002,"The Game of Love",NULL
"Nicki French",1995,"Total Eclipse of the Heart",NULL
"Bob Sinclar, Goleo VI & Gary 'Nesta' Pine",2005,"Love Generation",NULL
"The Shangri-Las",1964,"Leader of the Pack",NULL
"Jan & Dean",1963,"Surf City",NULL
"The Ink Spots",1946,"To Each His Own",NULL
"Fanny Brice",1922,"My Man",NULL
"Teresa Brewer",1953,"Till I Waltz Again With You",NULL
"Vaughn Monroe",1946,"Let it Snow! Let it Snow! Let it Snow!",NULL
"Ben Bernie",1925,"Sweet Georgia Brown",NULL
"Ciara & Missy 'Misdemeanor' Elliot",2005,"1-2 Step",NULL
"Atomic Kitten",2001,"Whole Again",NULL
Dion,1961,"Runaround Sue",NULL
"Freddy Martin",1946,Symphony,NULL
Charlene,1982,"I've Never Been to Me",NULL
"Rosemary Clooney",1952,"Half As Much",NULL
"Tommy Dorsey & Frank Sinatra",1943,"There Are Such Things",NULL
"Vanessa Williams",1995,"Colors of the Wind",NULL
"Craig Douglas",1959,"Only Sixteen",NULL
Des'ree,1998,Life,NULL
"Miguel Rios",1970,"A Song Of Joy",NULL
"The Four Seasons",1962,Sherry,NULL
"Dinah Shore",1944,"I'll Walk Alone",NULL
"Edison Lighthouse",1970,"Love Grows (Where My Rosemary Goes)",NULL
"Middle of The Road",1971,"Chirpy, Chirpy, Cheep, Cheep",NULL
"Bomfunk MCs",2000,Freestyler,NULL
"Frijid Pink",1970,"House of the Rising Sun",NULL
Jamelia,2004,Superstar,NULL
"Notorious BIG & P Diddy",1997,"Mo Money Mo Problems",NULL
"Jerry Murad's Harmonicats",1947,"Peg o' My Heart",NULL
"Thelma Houston",1977,"Don't Leave Me This Way",NULL
"Wild Cherry",1976,"Play That Funky Music",NULL
"Bill Withers",1972,"Lean On Me",NULL
"Three Dog Night",1970,"Mama Told Me Not to Come",NULL
"Enrique Iglesias & Pitbull",2010,"I Like It",NULL
Lulu,1967,"To Sir, With Love",NULL
"Jimmy Dorsey",1941,"Green Eyes",NULL
"Taylor Dayne",1988,"Tell it to My Heart",NULL
"Vaughn Monroe",1945,"There! I've Said it Again",NULL
"Four Aces",1955,"Mister Sandman",NULL
MFSB,1974,"TSOP (The Sound of Philadelphia)",NULL
"N-Trance & Ricardo Da Force",1995,"Stayin' Alive",NULL
"Staff Sergeant Barry Sadler",1966,"Ballad of the Green Berets",NULL
"Samantha Sang",1978,Emotion,NULL
"Barbra Streisand & Donna Summer",1979,"No More Tears (Enough is Enough)",NULL
Sonique,2000,"It Feels So Good",NULL
"MC Sar & The Real McCoy",1995,"Run Away",NULL
"The Ink Spots",1946,"The Gypsy",NULL
"Lloyd Price",1959,"Stagger Lee",NULL
Shanice,1992,"I Love Your Smile",NULL
"Jennifer Lopez & LL Cool J",2003,"All I Have",NULL
"The Everly Brothers",1957,"Wake Up Little Susie",NULL
"David Whitfield & Mantovani",1954,"Cara Mia",NULL
"C W McCall",1976,Convoy,NULL
"Chris Isaak",1991,"Wicked Game",NULL
"Roger Miller",1965,"King of the Road",NULL
"Artie Shaw",1941,Stardust,NULL
"Harry James",1945,"It's Been a Long, Long Time",NULL
"Tommy Roe",1962,Sheila,NULL
"Jessie J & BoB",2011,"Price Tag",NULL
"Rick Dees & his Cast of Idiots",1976,"Disco Duck",NULL
Heatwave,1977,"Boogie Nights",NULL
"Peter Schilling",1983,"Major Tom (Coming Home)",NULL
"Joey Dee & The Starliters",1962,"Peppermint Twist",NULL
"Eminem & Rihanna",2013,"The Monster",NULL
Eruption,1978,"I Can't Stand the Rain",NULL
"Warren G & Nate Dogg",1994,Regulate,NULL
"Johnny Mercer",1945,"Ac-cent-tchu-ate the Positive",NULL
"Ciara & Petey Pablo",2004,Goodies,NULL
Dion,1962,"The Wanderer",NULL
"The Goo Goo Dolls",1999,Slide,NULL
"The Platters",1958,"Twilight Time",NULL
"Eddie Cantor",1929,"Makin' Whoopee",NULL
"Ohio Express",1968,"Yummy Yummy Yummy",NULL
"Bing Crosby & The Andrews Sisters",1943,"Pistol Packin' Mama",NULL
"Barbra Streisand & Bryan Adams",1997,"I Finally Found Someone",NULL
"A R Rahman & The Pussycat Dolls",2009,"Jay Ho (you Are My Destiny)",NULL
Taco,1983,"Puttin' on the Ritz",NULL
"Ritchie Valens",1959,Donna,NULL
Player,1978,"Baby Come Back",NULL
"Johnny Rivers",1964,"Memphis, Tennessee",NULL
"Celine Dion & R Kelly",1998,"I'm Your Angel",NULL
"Jason Derulo",2009,"Whatcha Say",NULL
"Coolio & 40 Thevz",1997,"C U When U Get There",NULL
"Jimmy Dorsey",1941,"Amapola (Pretty Little Poppy)",NULL
"Bessie Smith",1925,"St Louis Blues",NULL
"Billy Eckstine",1950,"My Foolish Heart",NULL
"Paul Anka",1959,"Put Your Head On My Shoulder",NULL
"Jo Stafford",1954,"Make Love to Me",NULL
"Ethel Waters",1933,"Stormy Weather (Keeps Rainin' All the Time)",NULL
"Martha & The Vandellas",1964,"Dancing in the Street",NULL
Juanes,2005,"La Camisa Negra",NULL
"Maroon 5 & Wiz Khalifa",2012,Payphone,NULL
"The Mills Brothers",1952,"The Glow-Worm",NULL
Stories,1973,"Brother Louie",NULL
"Robbie Nevil",1987,"C'est La Vie",NULL
"Johnny & The Hurricanes",1959,"Red River Rock",NULL
"Marky Mark & The Funky Bunch",1991,"Good Vibrations",NULL
"Starland Vocal Band",1976,"Afternoon Delight",NULL
"Tommy James & the Shondells",1966,"Hanky Panky",NULL
"The Young Rascals",1967,Groovin',NULL
"Barbra Streisand & Neil Diamond",1978,"You Don't Bring Me Flowers",NULL
"Melanie C & Lisa 'Left Eye' Lopes",2000,"Never Be the Same Again",NULL
"Johnny Tillotson",1960,"Poetry in Motion",NULL
"The Troggs",1966,"With a Girl Like You",NULL
"Gigliola Cinquetti",1964,"Non Ho L'Eta Per Amarti",NULL
"Philip Bailey & Phil Collins",1985,"Easy Lover",NULL
"Ben Selvin",1930,"Happy Days Are Here Again",NULL
Opus,1985,"Live Is Life",NULL
"Gary Numan",1980,Cars,NULL
"The Ventures",1960,"Walk Don't Run",NULL
"Edith Piaf",1949,"La Vie En Rose",NULL
"Stealer's Wheel",1973,"Stuck in the Middle With You",NULL
"Bobby Vinton",1963,"Blue Velvet",NULL
"Morris Albert",1975,Feelings,NULL
"David Guetta & Kelly Rowland",2009,"When Love Takes Over",NULL
"The Stylistics",1974,"You Make Me Feel Brand New",NULL
"Harry Richman",1930,"Puttin' on the Ritz",NULL
"Middle of The Road",1972,"Sacramento (A Wonderful Town)",NULL
Quarterflash,1982,"Harden My Heart",NULL
Cascada,2006,"Everytime We Touch",NULL
"Robin S",1993,"Show Me Love",NULL
"Joni James",1952,"Why Don't You Believe Me?",NULL
Aneka,1981,"Japanese Boy",NULL
"Los Indios Tabajaras",1963,"Maria Elena",NULL
"The Four Seasons",1964,"Rag Doll",NULL
"The Escape Club",1988,"Wild Wild West",NULL
"The Surfaris",1963,"Wipe Out",NULL
"Sarah Brightman & Andrea Bocelli",1997,"Time to Say Goodbye (Con Te Partiro)",NULL
"Middle of The Road",1971,"Soley, Soley",NULL
"Al Trace",1948,"You Call Everybody Darlin'",NULL
"Natasha Bedingfield",2005,Unwritten,NULL
"Royal Guardsmen",1967,"Snoopy Vs the Red Baron",NULL
"Gary Glitter",1972,"Rock 'n' Roll (Part 2)",NULL
"Tinie Tempah & Eric Turner",2011,"Written in the Stars",NULL
"Sandi Thom",2006,"I Wish I Was A Punk Rocker (With Flowers In My Hair)",NULL
"Chris Norman & Suzi Quatro",1979,"Stumblin' In",NULL
"Daft Punk & Pharrell Williams",2013,"Get Lucky",NULL
"Tony Rich Project",1996,"Nobody Knows",NULL
"Perry Como",1954,"Papa Loves Mambo",NULL
"Eddie Calvert",1953,"Oh My Papa (O Mein Papa)",NULL
"John Parr",1985,"St Elmo's Fire (Man in Motion)",NULL
"Frankie Laine",1951,Jezebel,NULL
"Captain Hollywood Project",1993,"More & More",NULL
"Jimmy Dean",1961,"Big Bad John",NULL
"Mark Morrison",1996,"Return of the Mack",NULL
"Margaret Whiting",1948,"A Tree in the Meadow",NULL
"The Lemon Pipers",1968,"Green Tambourine",NULL
"Frank Chacksfield",1953,"Ebb Tide",NULL
"Patti Smith & Don Henley",1992,"Sometimes Love Just Ain't Enough",NULL
"Spike Jones",1948,"All I Want For Christmas is my Two Front Teeth",NULL
"Isham Jones",1924,"It Had to Be You",NULL
"Shakira & Freshly Ground",2010,"Waka Waka (This Time For Africa)",NULL
"Pat Boone",1957,"April Love",NULL
"Frankie Laine",1952,"High Noon (Do Not Forsake Me)",NULL
"The Lighthouse Family",1998,High,NULL
"The Sweet",1971,Co-Co,NULL
"Ce Ce Peniston",1992,Finally,NULL
"KC & The Sunshine Band",1977,"I'm Your Boogie Man",NULL
Space,1977,"Magic Fly",NULL
"Tammy Wynette",1969,"Stand By Your Man",NULL
"Rick Springfield",1981,"Jessie's Girl",NULL
"Johnny Mercer",1946,Personality,NULL
"Edith Piaf",1960,Milord,NULL
"Count Basie",1947,"Open The Door, Richard!",NULL
"Ted Weems",1947,Heartaches,NULL
"Queen & David Bowie",1981,"Under Pressure",NULL
"Coleman Hawkins",1939,"Body & Soul",NULL
"Gregory Abbott",1987,"Shake You Down",NULL
"The Pussycat Dolls & Will.I.Am",2006,Beep,NULL
"Doris Day",1948,"It's Magic",NULL
"The Outhere Brothers",1995,"Boom Boom Boom",NULL
"Patti Page",1950,"All My Love",NULL
"Margaret Whiting & Jimmy Wakely",1949,"Slippin' Around",NULL
"Danyel Gerard",1971,Butterfly,NULL
"Mary MacGregor",1977,"Torn Between Two Lovers",NULL
"Johnny Logan",1980,"What's Another Year",NULL
"Buzz Clifford",1961,"Baby Sittin' Boogie",NULL
JoJo,2004,"Leave (Get Out)",NULL
"Chesney Hawkes",1991,"The One & Only",NULL
"Spencer Davis Group",1967,"Gimme Some Lovin'",NULL
"Pee Wee King",1952,"Slow Poke",NULL
"Freddy Martin",1946,"To Each His Own",NULL
"Merrilee Rush",1968,"Angel of the Morning",NULL
"Ella Fitzgerald & The Ink Spots",1944,"Into Each Life Some Rain Must Fall",NULL
"Emile Ford & The Checkmates",1959,"What Do You Want to Make Those Eyes At Me For?",NULL
"Tag Team",1993,"Whoomp! (There it Is)",NULL
"Geri Halliwell",2001,"It's Raining Men",NULL
"Third Eye Blind",1997,"Semi-Charmed Life",NULL
"Sammy Kaye",1950,"Harbour Lights",NULL
Alphaville,1984,"Big in Japan",NULL
Wheatus,2001,"Teenage Dirtbag",NULL
"Bing Crosby & Carmen Cavallaro",1945,"I Can't Begin to Tell You",NULL
Frida,1982,"I Know There's Something Going On",NULL
"Herman's Hermits",1965,"Mrs Brown You've Got a Lovely Daughter",NULL
"Timmy Thomas",1973,"Why Can't We Live Together?",NULL
"Woody Guthrie",1944,"This Land is Your Land",NULL
"The Floaters",1977,"Float On",NULL
"Harold Faltermeyer",1985,"Axel F",NULL
"Gene Austin",1927,"My Blue Heaven",NULL
"Penny McLean",1976,"Lady Bump",NULL
"The Chiffons",1963,"He's So Fine",NULL
"Christina Aguilera & Redman",2002,Dirrty,NULL
"Frankie Laine",1947,"That's My Desire",NULL
"Hugo Montenegro",1968,"The Good the Bad & the Ugly",NULL
Ocean,1971,"Put Your Hand in the Hand",NULL
"Gladys Knight & The Pips",1973,"Midnight Train to Georgia",NULL
"Salt-N-Pepa & En Vogue",1994,"Whatta Man",NULL
"Al Jolson",1924,"California, Here I Come",NULL
"Ricky Martin & Christina Aguilera",2001,"Nobody Wants to Be Lonely",NULL
"The McCoys",1965,"Hang On Sloopy",NULL
"Jimmy Jones",1960,"Good Timin'",NULL
"Robbie Williams & Nicole Kidman",2001,"Somethin' Stupid",NULL
"P Diddy & Jimmy Page",1998,"Come With Me",NULL
"Hoagy Carmichael",1927,Stardust,NULL
Whigfield,1994,"Saturday Night",NULL
"Montell Jordan",1995,"This is How We Do It",NULL
"Chris Andrews",1966,"Yesterday Man",NULL
"Atlantic Starr",1987,Always,NULL
"Bob Moore",1961,Mexico,NULL
"Atomic Kitten",2002,"The Tide is High (Get the Feeling)",NULL
Corona,1994,"Rhythm of the Night",NULL
"Eric Carmen",1976,"All By Myself",NULL
Silk,1993,"Freak Me",NULL
"Maxine Nightingale",1976,"Right Back Where We Started From",NULL
"The Easybeats",1967,"Friday On My Mind",NULL
"Deniece Williams",1984,"Let's Hear it For the Boy",NULL
"Bobby 'Boris' Pickett & The Crypt-Kickers",1962,"The Monster Mash",NULL
"Andrea True Connection",1976,"More, More, More",NULL
US3,1993,"Cantaloop (Flip Fantasia)",NULL
"Perry Como",1958,"Catch a Falling Star",NULL
"Original Dixieland Jazz Band",1918,"Tiger Rag",NULL
"Baby Bash",2004,"Suga Suga",NULL
"Cliff Richard",1963,"Lucky Lips",NULL
Sylvers,1976,"Boogie Fever",NULL
"Adam Clayton & Larry Mullen",1996,"Theme From 'Mission Impossible'",NULL
"Samantha Mumba",2000,"Gotta Tell You",NULL
"Eddie Cochran",1958,"Summertime Blues",NULL
"Flo-Rida & Sia",2012,"The Wild Ones",NULL
"Robin Beck",1988,"First Time",NULL
"Nelly, P Diddy & Murphy Lee",2003,"Shake Ya Tailfeather",NULL
"The Flamingos",1959,"I Only Have Eyes For You",NULL
"Ricky Nelson",1961,"Travellin' Man",NULL
"Far East Movement",2010,"Like a g6",NULL
"DJ Sammy & Yanou",2002,Heaven,NULL
"Heavy D & The Boyz",1991,"Now That We Found Love",NULL
"Yvonne Elliman",1978,"If I Can't Have You",NULL
Salt-N-Pepa,1991,"Let's Talk About Sex",NULL
"Richard Harris",1968,"MacArthur Park",NULL
"Dinah Shore",1950,"Dear Hearts & Gentle People",NULL
"Les Baxter & his Orchestra",1955,"Unchained Melody",NULL
"Nina Sky",2004,"Move Ya Body",NULL
"Rosemary Clooney",1951,"Come On-a My House",NULL
"Tasmin Archer",1992,"Sleeping Satellite",NULL
"Billy Paul",1973,"Me & Mrs Jones",NULL
"The Bay City Rollers",1976,"Saturday Night",NULL
"Ritchie Valens",1958,"La Bamba",NULL
"Scatman John",1995,"Scatman's World",NULL
"Frankie Carle",1946,"Rumors Are Flying",NULL
"The Tokens",1961,"The Lion Sleeps Tonight",NULL
"Dave Clark Five",1964,"Glad All Over",NULL
"Gene Chandler",1962,"Duke of Earl",NULL
"Smash Mouth",1999,"All Star",NULL
"David Dundas",1976,"Jeans On",NULL
"The Detroit Spinners",1980,"Working My Way Back to You",NULL
Faithless,1996,Insomnia,NULL
"Bill Withers",1971,"Ain't No Sunshine",NULL
"The Crystals",1963,"Then He Kissed Me",NULL
Amerie,2005,"1 Thing",NULL
"Eddy Howard",1946,"To Each His Own",NULL
"The Seekers",1965,"The Carnival is Over",NULL
"Tom Cochrane",1992,"Life is a Highway",NULL
"Five for Fighting",2002,"Superman (It's Not Easy)",NULL
Gabrielle,1993,Dreams,NULL
"Kay Starr",1956,"Rock 'n' Roll Waltz",NULL
3T,1996,Anything,NULL
"Metro Station",2008,"Shake It",NULL
"Chuck Berry",1955,Maybellene,NULL
"Patsy Cline",1961,Crazy,NULL
"The Zombies",1969,"Time of the Season",NULL
"Kenny Ball & his Jazzmen",1962,"Midnight in Moscow",NULL
"Tee Set",1970,"Ma belle amie",NULL
"Gary Wright",1976,"Dream Weaver",NULL
"Paul Anka",1974,"(You're) Having My Baby",NULL
"Skeeter Davis",1963,"The End of the World",NULL
"Louis Jordan",1945,"Caldonia Boogie (What Makes Your Big Head So Hard)",NULL
"Merril Bainbridge",1996,Mouth,NULL
"Lou Rawls",1976,"You'll Never Find Another Love Like Mine",NULL
Salt-N-Pepa,1988,"Push It",NULL
"Rudy Vallee & his Connecticut Yankees",1943,"As Time Goes By",NULL
"Peggy Lee",1958,Fever,NULL
"Jason Derulo",2010,"In My Head",NULL
"Albert Hammond",1972,"It Never Rains in Southern California",NULL
"Hank Williams",1953,"Your Cheatin' Heart",NULL
"Mr Oizo",1999,"Flat Beat",NULL
"Sammy Kaye",1945,"Chickery Chick",NULL
"Ella Fitzgerald & The Ink Spots",1944,"I'm Making Believe",NULL
"Linda Ronstadt & Aaron Neville",1989,"Don't Know Much",NULL
Meco,1977,"Star Wars Theme - Cantina Band",NULL
"Shirley Bassey",1965,Goldfinger,NULL
"The Coasters",1958,"Yakety Yak",NULL
"Paul McCartney & Michael Jackson",1982,"The Girl is Mine",NULL
"Celine Dion & Peabo Bryson",1992,"Beauty & the Beast",NULL
"Four Aces",1955,"Stranger in Paradise",NULL
"Etta James",1961,"At Last",NULL
"Glenn Medeiros & Bobby Brown",1990,"She Ain't Worth It",NULL
"Goombay Dance Band",1980,"Sun Of Jamaica",NULL
"Stacie Orrico",2003,Stuck,NULL
"The Young Rascals",1968,"People Got to Be Free",NULL
"Bobby Lewis",1961,"Tossing & Turning",NULL
"The Drifters",1959,"There goes my baby",NULL
"The Osmonds",1972,"Crazy Horses",NULL
"The Orioles",1953,"Crying in the Chapel",NULL
"Fred Astaire",1937,"They Can't Take That Away From Me",NULL
"Silver Convention",1976,"Get Up & Boogie (That's Right)",NULL
Tavares,1976,"Heaven Must Be Missing an Angel",NULL
"The O'Jays",1973,"Love Train",NULL
"James Morrison",2006,"You Give Me Something",NULL
"Pseudo Echo",1987,Funkytown,NULL
"Blu Cantrell",2003,Breathe,NULL
"Chuck Berry",1972,"My Ding-A-Ling",NULL
"Fergal Sharkey",1985,"A Good Heart",NULL
"Will To Power",1989,"Baby, I Love Your Way",NULL
"Pharrell Williams",2014,Happy,NULL
"Sir Mix-a-Lot",1992,"Baby Got Back",NULL
"All-American Rejects",2009,"Gives You Hell",NULL
Cascades,1963,"Rhythm of the Rain",NULL
"Woody Herman",1942,"Blues in the Night",NULL
"Frankie Valli",1975,"My Eyes Adored You",NULL
"Sammy Kaye",1946,"The Old Lamplighter",NULL
Badfinger,1972,"Day After Day",NULL
"The Four Seasons",1963,"Walk Like a Man",NULL
"Red Foley",1950,"Chattanoogie Shoe-Shine Boy",NULL
"Perry Como",1956,"Hot Diggity (Dog Ziggity Boom)",NULL
"Peter & Gordon",1964,"A World Without Love",NULL
"Jeannie C Riley",1968,"Harper Valley PTA",NULL
"Sam & Dave",1967,"Soul Man",NULL
"Nu Shooz",1986,"I Can't Wait",NULL
"Dr Alban",1992,"It's My Life",NULL
"P Diddy, Usher & Loon",2002,"I Need a Girl (Part 1)",NULL
"Duke Ellington",1927,"Black & Tan Fantasy",NULL
"Maria McKee",1990,"Show Me Heaven",NULL
"Donny Osmond & Marie Osmond",1974,"I'm Leaving it (All) Up to You",NULL
"Henry Gross",1976,Shannon,NULL
"Chubby Checker",1962,"Limbo Rock",NULL
"Boy George",1987,"Everything I Own",NULL
"The Andrews Sisters",1941,"Boogie Woogie Bugle Boy",NULL
"The Fleetwoods",1959,"Mr Blue",NULL
"Poppy Family",1970,"Which Way You Goin' Billy?",NULL
"Taylor Dayne",1990,"Love Will Lead You Back",NULL
Harpo,1976,Moviestar,NULL
"Four Aces",1952,"Tell Me Why",NULL
"Robin Gibb",1969,"Saved By the Bell",NULL
"Beyonce & Jay-Z",2003,"Ballad of Bonnie & Clyde",NULL
"Lisa Lisa & Cult Jam",1987,"Head to Toe",NULL
"Guy Mitchell",1959,"Heartaches By the Number",NULL
"Paul Anka",1960,"Puppy Love",NULL
"Natalie Cole & Nat King Cole",1991,Unforgettable,NULL
"Duke Ellington",1941,"Take The 'A' Train",NULL
"The Goo Goo Dolls",1996,Name,NULL
"The Everly Brothers",1961,"Walk Right Back",NULL
"The Penguins",1954,"Earth Angel",NULL
"The Ink Spots",1949,"You're Breakin' My Heart",NULL
"Rupert Holmes",1980,"Escape (The Pina Colada Song)",NULL
"Sophie Tucker",1911,"Some of These Days",NULL
"Az Yet",1997,"Hard to Say I'm Sorry",NULL
"S Club 7",2001,"Don't Stop Movin'",NULL
"Linda Ronstadt & James Ingram",1987,"Somewhere Out There",NULL
"Timmy T",1991,"One More Try",NULL
"The Romantics",1984,"Talking in Your Sleep",NULL
"Cliff Richard",1968,Congratulations,NULL
"The Box Tops",1968,"Cry Like a Baby",NULL
"Phil Collins & Marilyn Martin",1985,"Separate Lives",NULL
Oliver,1969,"Good Morning Starshine",NULL
"Gene Vincent",1956,"Be Bop a Lula",NULL
"Roy Acuff",1938,"Wabash Cannonball",NULL
"Gina G",1996,"Ooh Aah... Just a Little Bit",NULL
"The Coasters",1959,"Charlie Brown",NULL
Haddaway,1993,Life,NULL
"The Wanted",2012,"Glad You Came",NULL
Pilot,1975,Magic,NULL
"Helen Kane",1928,"I Wanna Be Loved By You",NULL
"Fergie & will.i.am",2007,Fergalicious,NULL
"Bruce Channel",1962,"Hey Baby",NULL
"Owl City & Carly Rae Jepsen",2012,"Good Time",NULL
"Alveno Rey",1942,"Deep in the Heart of Texas",NULL
"Ray Stevens",1970,"Everything is Beautiful",NULL
"Dionne Farris",1995,"I Know",NULL
"Mamie Smith",1920,"Crazy Blues",NULL
"Mary J Blige & U2",2006,One,NULL
"Pinetop Smith",1928,"Pinetop's Boogie Woogie",NULL
"Crispian St Peters",1966,"Pied Piper",NULL
"T.I. & Justin Timberlake",2009,"Dead & Gone",NULL
"The Sweet",1974,"Teenage Rampage",NULL
"Sousa's Band",1901,"Stars & Stripes Forever",NULL
"Johnnie Taylor",1976,"Disco Lady",NULL
"Beats International",1990,"Dub Be Good to Me",NULL
"Marc Anthony",1999,"I Need to Know",NULL
"Eric Burdon & War",1970,"Spill the Wine",NULL
"Gabriella Cilmi",2008,"Sweet About Me",NULL
"The Crystals",1963,"Da Doo Ron Ron (When He Walked Me Home)",NULL
String-A-Longs,1961,Wheels,NULL
"Bob Hope & Shirley Ross",1938,"Thanks For the Memory",NULL
"Sammy Davis Jr",1972,"Candy Man",NULL
"The Veronicas",2009,Untouched,NULL
"Gym Class Heroes",2007,"Cupid's chokehold (Breakfast in America)",NULL
"Joe Thomas & Mystikal",2001,Stutter,NULL
"Golden Earring",1974,"Radar Love",NULL
"The Honeycombs",1964,"Have I the Right",NULL
"Robert John",1979,"Sad Eyes",NULL
"The Marvelettes",1961,"Please Mr Postman",NULL
"Helen Shapiro",1961,"Walkin' Back to Happiness",NULL
"Al Jolson",1922,"April Showers",NULL
"Doris Day & Buddy Clark",1948,"Love Somebody",NULL
"The Osmonds",1971,"One Bad Apple",NULL
"Glen Gray",1944,"My Heart Tells Me (Should I Believe My Heart)",NULL
"Bobby Vee",1961,"Take Good Care of My Baby",NULL
"Frankie Laine",1953,"Answer Me, Lord Above",NULL
"Ruby & The Romantics",1963,"Our Day Will Come",NULL
Des'ree,1995,"You Gotta Be",NULL
"The Staple Singers",1972,"I'll Take You There",NULL
"Sting & Cheb Mami",2000,"Desert Rose",NULL
"Crystal Gayle",1977,"Don't it Make My Brown Eyes Blue",NULL
"Alexandra Stan",2011,"Mr Saxobeat",NULL
"Fifth Dimension",1969,"Wedding Bell Blues",NULL
"Ray Stevens",1974,"The Streak",NULL
"Glenn Frey",1985,"The Heat is On",NULL
"Alien Ant Farm",2001,"Smooth Criminal",NULL
"Guy Lombardo",1944,"It's Love-Love-Love",NULL
"KC & The Sunshine Band",1977,"Keep it Comin' Love",NULL
Sweetbox,1998,"Everything's Gonna Be Alright",NULL
"The Andrews Sisters",1948,"Near You",NULL
"The Yardbirds",1965,"For Your Love",NULL
Aventura,2004,Obsession,NULL
"Peter & Gordon",1966,"Lady Godiva",NULL
"Vic Damone",1956,"On the Street Where You Live",NULL
"Ike & Tina Turner",1973,"Nutbush City Limits",NULL
Stardust,1998,"Music Sounds Better With You",NULL
"Santo & Johnny",1959,"Sleep Walk",NULL
"Fats Waller",1929,"Ain't Misbehavin'",NULL
"Tina Charles",1976,"I Love to Love",NULL
"Guy Mitchell",1951,"My Heart Cries For You",NULL
"Oran 'Juice' Jones",1986,"The Rain",NULL
"Busta Rhymes & Mariah Carey",2003,"I Know What You Want",NULL
Darude,2000,Sandstorm,NULL
"Fat Joe",2002,"What's Luv?",NULL
"Question Mark & The Mysterians",1966,"96 Tears",NULL
"Kid Cudi & Crookers",2009,"Day 'n' Nite",NULL
"Eddie Holman",1970,"(Hey There) Lonely Girl",NULL
"Jay & the Americans",1965,"Cara Mia",NULL
"Mel Blanc",1951,"I Taut I Taw A Puddy Tat",NULL
